name,dateissue,Value
????,14021228,338784
????,14021227,333306
????,14021226,329172
????,14021223,333691
????,14021222,339862
????,14021221,338138
????,14021220,327811
????,14021219,323735
????,14021216,325342
????,14021215,328570
????,14021214,322412
????,14021213,317642
????,14021212,302355
????,14021209,288526
????,14021208,283890
????,14021207,285275
????,14021205,293579
????,14021202,298775
????,14021201,299086
????,14021130,298594
????,14021129,296019
????,14021128,294563
????,14021125,297227
????,14021124,299277
????,14021123,300441
????,14021121,303222
????,14021118,303024
????,14021117,303215
????,14021116,304231
????,14021115,303536
????,14021114,305016
????,14021111,297929
????,14021110,297515
????,14021109,302157
????,14021108,301851
????,14021107,300529
????,14021104,299024
????,14021103,295057
????,14021102,303001
????,14021101,307861
????,14021030,315460
????,14021027,321584
????,14021026,319992
????,14021025,325793
????,14021024,331809
????,14021023,329420
????,14021020,325379
????,14021019,319585
????,14021018,320089
????,14021017,323681
????,14021016,323023
????,14021013,317239
????,14021012,315480
????,14021011,316904
????,14021010,318568
????,14021009,318675
????,14021006,316439
????,14021005,315657
????,14021004,320315
????,14021003,321546
????,14021002,322864
????,14020929,321863
????,14020928,324850
????,14020927,326886
????,14020925,321315
????,14020922,320950
????,14020921,325723
????,14020920,325490
????,14020919,323420
????,14020918,324034
????,14020915,329094
????,14020914,333586
????,14020913,322402
????,14020912,319487
????,14020911,317185
????,14020908,309746
????,14020907,300688
????,14020906,299560
????,14020905,299566
????,14020904,298519
????,14020901,298656
????,14020830,297975
????,14020829,296728
????,14020828,301455
????,14020827,298681
????,14020824,297894
????,14020823,299917
????,14020822,303547
????,14020821,297584
????,14020820,295139
????,14020817,296757
????,14020816,295272
????,14020815,283478
????,14020814,280147
????,14020813,275439
????,14020810,262593
????,14020809,271206
????,14020808,273326
????,14020807,264179
????,14020806,263300
????,14020803,277273
????,14020802,276308
????,14020801,287106
????,14020730,294090
????,14020729,293686
????,14020726,287982
????,14020725,296883
????,14020724,295220
????,14020723,285495
????,14020722,285651
????,14020719,296188
????,14020718,293948
????,14020717,290170
????,14020716,291814
????,14020715,309048
????,14020712,317151
????,14020710,313236
????,14020709,310652
????,14020708,316200
????,14020705,320560
????,14020704,321712
????,14020703,322378
????,14020701,326835
????,14020629,324901
????,14020628,324159
????,14020627,327542
????,14020626,329387
????,14020622,327385
????,14020621,328283
????,14020620,322383
????,14020619,317727
????,14020618,319742
????,14020614,332468
????,14020613,323660
????,14020612,319441
????,14020611,319817
????,14020608,322495
????,14020607,321548
????,14020606,318224
????,14020605,310035
????,14020604,296517
????,14020601,281859
????,14020531,274784
????,14020530,286928
????,14020529,285458
????,14020528,283381
????,14020525,287645
????,14020524,286608
????,14020523,296366
????,14020522,290163
????,14020521,298973
????,14020518,311847
????,14020517,316006
????,14020516,323723
????,14020515,312736
????,14020514,312531
????,14020510,298463
????,14020509,293256
????,14020508,292528
????,14020507,304480
????,14020504,307238
????,14020503,304740
????,14020502,308565
????,14020501,306917
????,14020431,305808
????,14020428,310961
????,14020427,307987
????,14020426,301758
????,14020425,315263
????,14020424,327863
????,14020421,329056
????,14020420,342009
????,14020419,352525
????,14020418,358874
????,14020417,363990
????,14020414,364822
????,14020413,366980
????,14020412,364296
????,14020411,358005
????,14020410,346220
????,14020407,350060
????,14020406,350597
????,14020405,359827
????,14020404,354681
????,14020403,355878
????,14020331,363928
????,14020330,359270
????,14020329,357373
????,14020328,357874
????,14020327,371857
????,14020324,375910
????,14020323,371441
????,14020322,372593
????,14020321,384848
????,14020320,392874
????,14020317,405488
????,14020316,404660
????,14020313,391213
????,14020310,386818
????,14020309,395481
????,14020308,392531
????,14020307,390294
????,14020306,408200
????,14020303,409976
????,14020302,416832
????,14020301,413315
????,14020231,402682
????,14020230,399580
????,14020227,406426
????,14020225,400373
????,14020224,403934
????,14020223,397138
????,14020220,419178
????,14020219,435779
????,14020218,447432
????,14020217,469458
????,14020216,476051
????,14020213,451028
????,14020212,432190
????,14020211,422839
????,14020210,421833
????,14020209,408727
????,14020206,409386
????,14020205,420745
????,14020204,418308
????,14020130,416252
????,14020129,415282
????,14020128,399828
????,14020127,396724
????,14020126,393332
????,14020122,378775
????,14020121,376914
????,14020120,376283
????,14020119,363925
????,14020116,361652
????,14020115,359554
????,14020114,357558
????,14020109,342696
????,14020108,332138
????,14020107,326118
????,14020106,322343
????,14020105,330523
????,14011228,322331
????,14011227,315690
????,14011224,300985
????,14011223,294095
????,14011222,293587
????,14011221,293715
????,14011220,304123
????,14011216,299590
????,14011215,301257
????,14011214,303195
????,14011213,293690
????,14011210,290452
????,14011209,301464
????,14011208,306097
????,14011207,293903
????,14011206,293479
????,14011203,279858
????,14011202,290383
????,14011201,280750
????,14011130,273558
????,14011126,272880
????,14011125,276833
????,14011124,278628
????,14011123,276992
????,14011119,279360
????,14011118,276537
????,14011117,270464
????,14011116,274877
????,14011112,281269
????,14011111,281128
????,14011110,274611
????,14011109,278994
????,14011108,293760
????,14011105,299658
????,14011104,311213
????,14011103,309802
????,14011102,313610
????,14011101,316860
????,14011028,327771
????,14011027,333765
????,14011026,327835
????,14011025,321787
????,14011024,321787
????,14011021,325132
????,14011020,334092
????,14011019,329454
????,14011018,324421
????,14011017,326082
????,14011014,312906
????,14011013,314193
????,14011012,302741
????,14011011,288396
????,14011010,283793
????,14011007,291818
????,14011005,281496
????,14011004,274800
????,14011003,265324
????,14010930,259789
????,14010929,256813
????,14010928,257184
????,14010927,266213
????,14010926,265418
????,14010923,264202
????,14010922,261355
????,14010921,255987
????,14010920,253139
????,14010919,253768
????,14010916,260889
????,14010915,252488
????,14010914,248658
????,14010913,250106
????,14010912,241244
????,14010909,241255
????,14010908,244545
????,14010907,247497
????,14010906,248498
????,14010905,246775
????,14010902,240815
????,14010901,239847
????,14010830,235687
????,14010829,230318
????,14010828,220985
????,14010825,225690
????,14010824,225007
????,14010823,222731
????,14010822,225868
????,14010821,227064
????,14010818,228692
????,14010817,227495
????,14010816,221652
????,14010815,210768
????,14010814,203899
????,14010811,198035
????,14010810,198796
????,14010809,195298
????,14010808,189826
????,14010807,189964
????,14010804,188906
????,14010803,195458
????,14010802,197055
????,14010801,200098
????,14010730,198754
????,14010727,199049
????,14010726,199760
????,14010725,198560
????,14010724,198286
????,14010723,202728
????,14010720,205996
????,14010719,206392
????,14010718,204663
????,14010717,205150
????,14010716,210181
????,14010712,207880
????,14010711,207657
????,14010710,207589
????,14010709,208210
????,14010706,217140
????,14010704,210586
????,14010702,204186
????,14010630,211915
????,14010629,211912
????,14010628,214221
????,14010627,215309
????,14010623,220538
????,14010622,219941
????,14010621,212554
????,14010620,211563
????,14010619,214387
????,14010616,220857
????,14010615,220976
????,14010614,220348
????,14010613,220573
????,14010612,218958
????,14010609,225785
????,14010608,224307
????,14010607,229842
????,14010606,230174
????,14010605,232339
????,14010602,235355
????,14010601,234807
????,14010531,232401
????,14010530,230777
????,14010529,231204
????,14010526,236320
????,14010525,230440
????,14010524,227741
????,14010523,221612
????,14010522,216711
????,14010519,206911
????,14010518,209898
????,14010515,207423
????,14010512,198750
????,14010511,191206
????,14010510,190628
????,14010509,188344
????,14010508,195934
????,14010505,201429
????,14010504,199355
????,14010503,200984
????,14010502,210100
????,14010501,212981
????,14010429,212351
????,14010428,211761
????,14010426,211203
????,14010425,211656
????,14010422,216062
????,14010421,212224
????,14010420,210036
????,14010418,219637
????,14010415,222128
????,14010414,227178
????,14010413,228535
????,14010412,224648
????,14010411,225100
????,14010408,234137
????,14010407,236122
????,14010406,232289
????,14010405,232610
????,14010404,236477
????,14010401,226744
????,14010331,223070
????,14010330,224511
????,14010329,218378
????,14010328,220308
????,14010325,222606
????,14010324,225981
????,14010323,222908
????,14010322,214547
????,14010321,212992
????,14010318,217071
????,14010317,216067
????,14010316,215023
????,14010311,224186
????,14010310,222106
????,14010309,222582
????,14010308,221406
????,14010307,226248
????,14010304,234685
????,14010303,233351
????,14010302,234133
????,14010301,244723
????,14010231,245675
????,14010228,248464
????,14010227,248297
????,14010226,251696
????,14010225,244155
????,14010224,245634
????,14010221,255410
????,14010220,250445
????,14010219,251216
????,14010218,253306
????,14010217,249482
????,14010212,249517
????,14010211,245953
????,14010210,247654
????,14010207,253829
????,14010206,253673
????,14010205,245171
????,14010204,245162
????,14010131,242814
????,14010130,239955
????,14010129,239173
????,14010128,233960
????,14010127,239372
????,14010124,235617
????,14010123,237063
????,14010122,246829
????,14010121,245970
????,14010120,238706
????,14010117,240690
????,14010116,244725
????,14010115,242037
????,14010114,239738
????,14010110,230595
????,14010109,227442
????,14010108,232487
????,14010107,226382
????,14010106,222437
????,14001228,217474
????,14001225,208005
????,14001224,199074
????,14001223,193113
????,14001222,192225
????,14001221,192537
????,14001218,200969
????,14001217,194870
????,14001216,199802
????,14001215,202303
????,14001214,199754
????,14001211,191152
????,14001209,196598
????,14001208,195114
????,14001207,196309
????,14001204,203518
????,14001203,200590
????,14001202,200718
????,14001201,192034
????,14001130,192113
????,14001127,187674
????,14001125,189232
????,14001124,187034
????,14001123,191206
????,14001120,193255
????,14001119,190061
????,14001118,184564
????,14001117,191435
????,14001116,199452
????,14001113,198531
????,14001112,200042
????,14001111,194085
????,14001110,188317
????,14001109,187366
????,14001106,180209
????,14001105,175686
????,14001104,183172
????,14001103,182627
????,14001102,187892
????,14001029,190607
????,14001028,191398
????,14001027,199648
????,14001026,195982
????,14001025,196921
????,14001022,205297
????,14001021,207002
????,14001020,203470
????,14001019,198236
????,14001018,199087
????,14001015,191613
????,14001014,190714
????,14001013,195397
????,14001012,195620
????,14001011,196439
????,14001008,204112
????,14001007,203546
????,14001006,201690
????,14001005,194130
????,14001004,197773
????,14001001,197693
????,14000930,190208
????,14000929,187185
????,14000928,187495
????,14000927,193719
????,14000924,186087
????,14000923,189296
????,14000922,197344
????,14000921,204271
????,14000920,213764
????,14000917,217890
????,14000916,207842
????,14000915,209602
????,14000914,208424
????,14000913,208516
????,14000910,211279
????,14000909,213973
????,14000908,214790
????,14000907,214065
????,14000906,213753
????,14000903,215638
????,14000902,213294
????,14000901,215260
????,14000830,215730
????,14000829,213177
????,14000826,213779
????,14000825,210697
????,14000824,210161
????,14000823,210927
????,14000822,208320
????,14000819,211941
????,14000818,208269
????,14000817,211558
????,14000816,206431
????,14000815,199880
????,14000812,192415
????,14000811,184185
????,14000810,177748
????,14000809,171241
????,14000808,178586
????,14000805,183722
????,14000804,183668
????,14000803,183664
????,14000801,186172
????,14000728,194327
????,14000727,197169
????,14000726,190426
????,14000725,191281
????,14000724,196595
????,14000721,190177
????,14000720,194043
????,14000719,202288
????,14000718,201994
????,14000717,206562
????,14000714,214300
????,14000712,213596
????,14000711,208222
????,14000710,204270
????,14000707,203990
????,14000706,201618
????,14000704,202604
????,14000703,204744
????,14000631,198270
????,14000630,202502
????,14000629,211099
????,14000628,210803
????,14000627,215437
????,14000624,224440
????,14000623,224891
????,14000622,218816
????,14000621,218481
????,14000620,228483
????,14000617,232147
????,14000616,230671
????,14000615,238038
????,14000614,238402
????,14000613,234282
????,14000610,230141
????,14000609,227369
????,14000608,235459
????,14000607,245585
????,14000606,246507
????,14000603,236584
????,14000602,232255
????,14000601,226954
????,14000531,227130
????,14000524,217767
????,14000523,213006
????,14000520,204391
????,14000519,203723
????,14000518,201620
????,14000517,198159
????,14000516,199455
????,14000513,195677
????,14000512,197993
????,14000511,204608
????,14000510,198989
????,14000509,198252
????,14000506,197485
????,14000505,202002
????,14000504,206126
????,14000428,206958
????,14000427,207825
????,14000426,211874
????,14000423,209709
????,14000422,205674
????,14000421,208052
????,14000420,206481
????,14000419,202657
????,14000416,207304
????,14000415,209985
????,14000414,207791
????,14000413,206045
????,14000412,206560
????,14000409,211653
????,14000408,212044
????,14000407,209558
????,14000406,210741
????,14000405,205390
????,14000402,204304
????,14000401,201834
????,14000331,195287
????,14000330,191205
????,14000329,197146
????,14000326,199101
????,14000325,201498
????,14000324,199489
????,14000323,194046
????,14000322,192257
????,14000319,196588
????,14000318,194024
????,14000317,187924
????,14000312,182915
????,14000311,180388
????,14000310,185506
????,14000309,191296
????,14000308,188733
????,14000305,183183
????,14000304,183608
????,14000303,180613
????,14000302,185056
????,14000301,190914
????,14000229,197863
????,14000228,204091
????,14000227,211298
????,14000226,214682
????,14000225,209126
????,14000222,210198
????,14000221,211085
????,14000220,207330
????,14000219,210233
????,14000218,212510
????,14000215,215780
????,14000213,219373
????,14000212,221014
????,14000211,222557
????,14000208,222690
????,14000207,218606
????,14000206,218028
????,14000205,222975
????,14000204,223931
????,14000201,226709
????,14000131,230286
????,14000130,232143
????,14000129,233834
????,14000128,234232
????,14000125,236098
????,14000124,238611
????,14000123,236982
????,14000122,239019
????,14000121,240693
????,14000118,241710
????,14000117,244239
????,14000116,246261
????,14000115,249209
????,14000114,250306
????,14000111,251681
????,14000110,254416
????,14000108,256906
????,14000107,254380
????,13991227,247493
????,13991226,248509
????,13991225,242402
????,13991224,244447
????,13991223,237821
????,13991220,239840
????,13991219,241995
????,13991218,240499
????,13991217,241689
????,13991216,244711
????,13991213,245760
????,13991212,247788
????,13991211,250614
????,13991210,253359
????,13991209,253806
????,13991206,256744
????,13991205,258890
????,13991204,262272
????,13991203,262971
????,13991202,263689
????,13991129,265256
????,13991128,267999
????,13991127,271209
????,13991126,274046
????,13991125,272303
????,13991121,258615
????,13991120,250277
????,13991119,245651
????,13991118,236969
????,13991115,245179
????,13991114,250560
????,13991113,252351
????,13991112,259639
????,13991111,257108
????,13991108,247774
????,13991107,254044
????,13991106,262105
????,13991105,263948
????,13991104,262451
????,13991101,253909
????,13991030,246419
????,13991029,245376
????,13991027,252088
????,13991024,259838
????,13991023,266628
????,13991022,276616
????,13991021,283764
????,13991020,274786
????,13991017,275582
????,13991016,286128
????,13991015,296556
????,13991014,290427
????,13991013,291182
????,13991010,302360
????,13991009,308028
????,13991008,317732
????,13991007,309673
????,13991006,314344
????,13991003,323433
????,13991002,321669
????,13991001,310552
????,13990930,317316
????,13990929,327414
????,13990926,324888
????,13990925,331036
????,13990924,345898
????,13990923,352724
????,13990922,361334
????,13990919,362986
????,13990918,362927
????,13990917,365004
????,13990916,366976
????,13990915,352284
????,13990912,343331
????,13990911,344839
????,13990910,346496
????,13990909,334052
????,13990908,322313
????,13990905,333778
????,13990904,333234
????,13990903,323917
????,13990902,316460
????,13990901,319785
????,13990828,317671
????,13990827,304572
????,13990826,294594
????,13990825,287760
????,13990824,282329
????,13990821,274193
????,13990820,270123
????,13990819,268327
????,13990818,273388
????,13990817,282539
????,13990814,282211
????,13990812,290312
????,13990811,286787
????,13990810,290332
????,13990807,281475
????,13990806,279686
????,13990805,283502
????,13990803,291609
????,13990730,301216
????,13990729,301034
????,13990728,309337
????,13990727,318451
????,13990723,326540
????,13990722,339021
????,13990721,339967
????,13990720,335290
????,13990719,322512
????,13990716,310941
????,13990715,300173
????,13990714,288932
????,13990713,287320
????,13990712,279144
????,13990709,271287
????,13990708,271748
????,13990707,281465
????,13990706,287687
????,13990705,294640
????,13990702,299518
????,13990701,300531
????,13990631,310713
????,13990630,319765
????,13990629,330357
????,13990626,343132
????,13990625,341305
????,13990624,339868
????,13990623,344180
????,13990622,345652
????,13990619,351228
????,13990618,354579
????,13990617,357054
????,13990616,365291
????,13990615,376284
????,13990612,390500
????,13990611,402018
????,13990610,416610
????,13990605,425900
????,13990604,408498
????,13990603,407019
????,13990602,422060
????,13990601,438805
????,13990529,449258
????,13990528,466037
????,13990527,451396
????,13990526,465420
????,13990525,484175
????,13990522,506957
????,13990521,515502
????,13990520,536861
????,13990519,558973
????,13990515,578246
????,13990514,580279
????,13990513,598425
????,13990512,614350
????,13990511,602740
????,13990508,594897
????,13990507,617215
????,13990506,628556
????,13990505,581809
????,13990504,571061
????,13990501,564123
????,13990431,559073
????,13990430,555554
????,13990429,522874
????,13990428,505081
????,13990425,525884
????,13990424,531657
????,13990423,514743
????,13990422,483122
????,13990421,466911
????,13990418,465645
????,13990417,456162
????,13990416,438423
????,13990415,420448
????,13990414,403285
????,13990411,387825
????,13990410,370952
????,13990409,352030
????,13990408,343803
????,13990407,332238
????,13990404,318001
????,13990403,307510
????,13990402,298577
????,13990401,291670
????,13990331,281787
????,13990327,270044
????,13990326,258806
????,13990325,248465
????,13990324,239619
????,13990321,230655
????,13990320,208931
????,13990319,209621
????,13990318,210468
????,13990317,202016
????,13990313,196973
????,13990312,191672
????,13990311,195585
????,13990310,198255
????,13990307,196533
????,13990306,197894
????,13990303,204852
????,13990231,206843
????,13990230,199350
????,13990229,191298
????,13990228,185017
????,13990227,183965
????,13990224,164941
????,13990223,160903
????,13990222,158173
????,13990221,141222
????,13990220,137330
????,13990217,132980
????,13990216,129783
????,13990215,129083
????,13990214,126069
????,13990213,122051
????,13990210,118652
????,13990209,114810
????,13990208,112030
????,13990207,109047
????,13990206,100255
????,13990203,98083.4
????,13990202,96047.9
????,13990201,94187.4
????,13990131,93248.5
????,13990130,92462.7
????,13990127,90463.4
????,13990126,88464.4
????,13990125,88671
????,13990124,89071.9
????,13990123,88300.4
????,13990120,87521.7
????,13990119,86124.1
????,13990118,84794.1
????,13990117,83767.7
????,13990116,82490.5
????,13990111,81165
????,13990110,81345.2
????,13990109,80067.3
????,13990106,78640.9
????,13990105,77337.1
????,13981228,76375.2
????,13981227,75607.3
????,13981226,75782.2
????,13981225,74381.6
????,13981224,75948.5
????,13981221,78141.4
????,13981220,75740.7
????,13981219,76041.1
????,13981217,78943.1
????,13981214,80692.7
????,13981213,82051.5
????,13981212,79966.6
????,13981211,76757.3
????,13981210,73823.2
????,13981207,75300.9
????,13981206,75904.5
????,13981205,74011.2
????,13981204,73641.7
????,13981203,70574.4
????,13981130,71609.7
????,13981129,70751.7
????,13981128,69950.2
????,13981127,71858.9
????,13981126,71569
????,13981123,73783.2
????,13981121,73689
????,13981120,76212.4
????,13981119,75406.5
????,13981116,78020.8
????,13981115,76604.7
????,13981114,77115.3
????,13981113,74716.8
????,13981112,71436.7
????,13981108,69645
????,13981107,67930.1
????,13981106,67580.4
????,13981105,65805.4
????,13981102,63259.2
????,13981101,61632.6
????,13981030,62480.1
????,13981029,62266.5
????,13981028,61738.3
????,13981025,59239.7
????,13981024,57194.2
????,13981023,54707.7
????,13981022,52335.7
????,13981021,49986.8
????,13981018,49114.6
????,13981017,49851
????,13981015,51735.8
????,13981014,53789.3
????,13981011,56312.5
????,13981010,56204.8
????,13981009,57509
????,13981008,57120.2
????,13981007,57120.9
????,13981004,55879.8
????,13981003,53903.7
????,13981002,53567
????,13981001,52947.6
????,13980930,52865.4
????,13980927,52258.1
????,13980926,53164
????,13980925,53173.9
????,13980924,53241.5
????,13980923,53190.6
????,13980920,52392.8
????,13980919,51715.3
????,13980918,50838
????,13980917,49107.3
????,13980916,48032
????,13980913,47756.2
????,13980912,47589.2
????,13980911,47202.1
????,13980910,47495.8
????,13980909,46701.1
????,13980906,45701.2
????,13980905,45512.1
????,13980904,45311.9
????,13980903,43573.8
????,13980902,43176.2
????,13980829,43035.2
????,13980828,43038.7
????,13980827,42182.9
????,13980826,41729.9
????,13980825,43802.9
????,13980822,45326.8
????,13980821,45295.6
????,13980820,44984
????,13980819,43914.6
????,13980818,45107.1
????,13980814,43726.5
????,13980813,43391.8
????,13980812,43252.9
????,13980811,41460.1
????,13980808,42211.1
????,13980806,40957
????,13980804,39517.2
????,13980801,40091
????,13980730,40195.6
????,13980729,38705.8
????,13980728,38515
????,13980724,40143.1
????,13980723,40889.9
????,13980722,42180.1
????,13980721,44025.5
????,13980720,44421.1
????,13980717,43762.3
????,13980716,45332.5
????,13980715,46753
????,13980714,46552.4
????,13980713,48072.5
????,13980710,47412.2
????,13980709,46940.6
????,13980708,45864.2
????,13980707,44377.6
????,13980706,44438.9
????,13980703,42966.1
????,13980702,42371.7
????,13980701,41345.4
????,13980631,41208
????,13980630,40679.5
????,13980627,39894.2
????,13980626,41328.9
????,13980625,42423.6
????,13980624,42380.9
????,13980623,41699.7
????,13980620,39689.8
????,13980617,38255.7
????,13980616,37149.4
????,13980613,36609.9
????,13980612,36493.6
????,13980611,36487.6
????,13980610,36785.6
????,13980609,35523.5
????,13980606,35445.2
????,13980605,35996.4
????,13980604,35981.4
????,13980603,35325.3
????,13980602,36431.9
????,13980530,35415.4
????,13980528,34782
????,13980527,34544.2
????,13980526,34327.4
????,13980523,33112.6
????,13980522,32389.5
????,13980520,32208.9
????,13980519,32075.8
????,13980516,31925.5
????,13980515,31626.2
????,13980514,32215.3
????,13980513,31754.7
????,13980512,30783.6
????,13980509,30446.5
????,13980508,30441.4
????,13980507,30287.7
????,13980506,30661.4
????,13980505,30313.9
????,13980502,30723.6
????,13980501,30165.8
????,13980431,30935.1
????,13980430,30973.5
????,13980429,30838.7
????,13980426,30660.9
????,13980425,30712
????,13980424,32030.9
????,13980423,33065.1
????,13980422,33507.4
????,13980419,32557
????,13980418,31936.6
????,13980417,32461.6
????,13980416,31909.2
????,13980415,32075
????,13980412,33291.2
????,13980411,33122.4
????,13980410,32907.2
????,13980409,32920.4
????,13980405,33914.3
????,13980404,33938.1
????,13980403,33666
????,13980402,32355.9
????,13980401,31381.4
????,13980329,32033
????,13980328,32069.1
????,13980327,31798.8
????,13980326,32972.7
????,13980325,32913.8
????,13980322,33172.7
????,13980321,32601.9
????,13980320,32250
????,13980319,31909.6
????,13980318,30451.5
????,13980313,30315.7
????,13980312,29220.3
????,13980311,28475.5
????,13980308,28051.9
????,13980307,27071.9
????,13980305,26521.7
????,13980304,25804.9
????,13980301,25911.2
????,13980231,25721.2
????,13980230,25045.7
????,13980229,26017.7
????,13980228,26749.1
????,13980225,26111.6
????,13980224,26052.8
????,13980223,25000.4
????,13980222,25114.1
????,13980221,26167.6
????,13980218,26599.2
????,13980217,27604.3
????,13980216,28807.9
????,13980215,29395.2
????,13980214,28479.7
????,13980211,27234.1
????,13980210,26436.2
????,13980209,25701.9
????,13980208,24948.9
????,13980207,25347.9
????,13980204,24926.8
????,13980203,24713
????,13980202,24704.6
????,13980131,24147.9
????,13980128,23051
????,13980127,23063.7
????,13980126,23343.6
????,13980125,22854.4
????,13980124,22557.6
????,13980121,22800.1
????,13980120,22330.7
????,13980119,22784
????,13980118,23023.4
????,13980117,22256.1
????,13980111,21727.7
????,13980110,21286
????,13980107,20881.9
????,13980106,20697.8
????,13980105,19872
????,13971228,19308.6
????,13971227,19109.8
????,13971226,18906.7
????,13971225,18500.1
????,13971222,18398.9
????,13971221,18310.2
????,13971220,18393.7
????,13971219,18622
????,13971218,18558.7
????,13971215,18356.7
????,13971214,18304.3
????,13971213,18665.9
????,13971212,18630.9
????,13971211,18742
????,13971208,18978.5
????,13971207,18989.4
????,13971206,19375.5
????,13971205,19488
????,13971204,19143.9
????,13971201,18575.3
????,13971130,18768.2
